# Simulation K445 (Up to date)
# 604 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (83.3 ft/s).
#
# Time (s),Altitude (ft),Vertical velocity (ft/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0
0.01,0,0
0.02,0.0017176,0.34354
0.03,0.009089,1.1308
0.04,0.026552,2.3619
0.05,0.058545,4.0369
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.10829,5.9125
0.07,0.17658,7.7451
0.08,0.26298,9.5347
0.09,0.36706,11.281
0.1,0.48839,12.985
0.11,0.62667,14.671
0.12,0.78185,16.367
0.13,0.95404,18.071
0.14,1.1433,19.785
0.15,1.3498,21.507
0.16,1.5735,23.239
0.17,1.8146,24.979
0.18,2.0731,26.729
0.19,2.3492,28.488
0.2,2.6429,30.255
0.21,2.9543,32.028
0.22,3.2835,33.8
0.23,3.6303,35.571
0.24,3.9949,37.343
0.25,4.3772,39.115
0.26,4.7772,40.886
0.27,5.1949,42.657
0.28,5.6303,44.428
# Event LAUNCHROD occurred at t=0.29 seconds
0.29,6.0835,46.198
0.305,6.7963,48.853
0.3275,7.9403,52.835
0.36125,9.8243,58.806
0.41125,12.985,67.644
0.46125,16.588,76.461
0.51125,20.631,85.25
0.56125,25.112,93.991
0.61125,30.028,102.67
0.66125,35.377,111.29
0.71125,41.156,119.86
0.76125,47.362,128.36
0.81125,53.99,136.79
0.86125,61.039,145.17
0.91125,68.505,153.47
0.96125,76.385,161.72
1.0113,84.675,169.89
1.0613,93.371,177.96
1.1113,102.47,185.94
1.1613,111.96,193.8
1.2113,121.85,201.56
1.2613,132.12,209.21
1.3113,142.76,216.75
1.3613,153.79,224.19
1.4113,165.18,231.52
1.4613,176.94,238.76
1.5113,189.05,245.88
1.5613,201.52,252.9
1.6113,214.34,259.8
1.6613,227.5,266.59
1.7113,241,273.26
1.7613,254.82,279.81
1.8113,268.97,286.24
1.8613,283.44,292.55
1.9113,298.23,298.74
1.9613,313.31,304.8
2.0113,328.7,310.74
2.0613,344.39,316.56
2.1113,360.36,322.28
2.1613,376.61,327.9
2.2113,393.14,333.4
2.2613,409.95,338.8
2.3113,427.02,344.1
2.3612,444.36,349.3
2.4112,461.95,354.4
2.4612,479.79,359.4
2.5112,497.89,364.31
2.5612,516.22,369.12
2.6112,534.8,373.86
2.6612,553.61,378.51
2.7112,572.65,383.08
2.7612,591.91,387.57
2.8112,611.4,391.96
2.8612,631.11,396.27
2.9112,651.03,400.5
2.9612,671.16,404.63
3.0112,691.49,408.67
3.0612,712.02,412.6
3.1112,732.74,416.41
3.1612,753.66,420.18
3.2112,774.75,423.33
3.2612,795.97,425.58
3.3112,817.28,426.9
3.3612,838.64,427.46
3.4112,860.01,427.33
3.4612,881.36,426.54
3.5112,902.66,425.42
3.5612,923.9,424.15
3.6112,945.07,422.72
3.6612,966.16,421.09
3.7112,987.17,419.24
3.7612,1008.1,417.24
3.8112,1028.9,415.1
3.8612,1049.6,412.89
3.9112,1070.2,410.67
3.9612,1090.7,408.41
4.0112,1111,406.13
# Event BURNOUT occurred at t=4.0612 seconds
4.0612,1131.3,403.81
4.1112,1151.4,401.5
4.1612,1171.4,399.18
4.2112,1191.3,396.88
4.2612,1211.1,394.57
4.3112,1230.8,392.28
4.3612,1250.3,390
4.4112,1269.8,387.73
4.4612,1289.1,385.47
4.5112,1308.3,383.22
4.5612,1327.4,380.98
4.6112,1346.4,378.75
4.6612,1365.3,376.52
4.7112,1384.1,374.3
4.7612,1402.7,372.09
4.8112,1421.3,369.88
4.8612,1439.7,367.67
4.9112,1458.1,365.47
4.9612,1476.3,363.29
5.0112,1494.4,361.1
5.0612,1512.4,358.93
5.1112,1530.3,356.76
5.1612,1548.1,354.61
5.2112,1565.7,352.46
5.2612,1583.3,350.31
5.3112,1600.8,348.18
5.3612,1618.1,346.05
5.4112,1635.4,343.93
5.4612,1652.5,341.82
5.5112,1669.6,339.71
5.5612,1686.5,337.6
5.6112,1703.3,335.5
5.6612,1720,333.41
5.7112,1736.7,331.32
5.7612,1753.2,329.23
5.8112,1769.6,327.15
5.8612,1785.9,325.08
5.9112,1802.1,323.02
5.9612,1818.2,320.96
6.0112,1834.2,318.92
6.0612,1850.1,316.87
6.1112,1865.9,314.84
6.1612,1881.6,312.8
6.2112,1897.1,310.78
6.2612,1912.6,308.76
6.3112,1928,306.74
6.3612,1943.3,304.73
6.4112,1958.5,302.72
6.4612,1973.6,300.71
6.5112,1988.6,298.71
6.5612,2003.5,296.72
6.6112,2018.2,294.73
6.6612,2032.9,292.75
6.7112,2047.5,290.77
6.7612,2062,288.8
6.8112,2076.4,286.84
6.8612,2090.7,284.88
6.9112,2104.9,282.93
6.9612,2119,280.98
7.0112,2133,279.04
7.0612,2146.9,277.1
7.1112,2160.7,275.16
7.1612,2174.4,273.23
7.2112,2188,271.3
7.2612,2201.5,269.37
7.3112,2215,267.45
7.3612,2228.3,265.54
7.4112,2241.5,263.62
7.4612,2254.6,261.71
7.5112,2267.7,259.81
7.5612,2280.6,257.91
7.6112,2293.5,256.01
7.6612,2306.2,254.12
7.7112,2318.9,252.23
7.7612,2331.4,250.35
7.8112,2343.9,248.48
7.8612,2356.3,246.61
7.9112,2368.6,244.74
7.9612,2380.8,242.88
8.0112,2392.9,241.02
8.0612,2404.9,239.17
8.1112,2416.8,237.32
8.1612,2428.6,235.48
8.2112,2440.3,233.64
8.2612,2452,231.8
8.3112,2463.5,229.96
8.3612,2475,228.12
8.4112,2486.3,226.28
8.4612,2497.6,224.45
8.5112,2508.8,222.62
8.5612,2519.9,220.79
8.6112,2530.8,218.96
8.6612,2541.7,217.14
8.7112,2552.6,215.32
8.7612,2563.3,213.51
8.8112,2573.9,211.7
8.8612,2584.5,209.9
8.9112,2594.9,208.1
8.9612,2605.3,206.31
9.0112,2615.5,204.52
9.0612,2625.7,202.74
9.1112,2635.8,200.96
9.1612,2645.8,199.19
9.2112,2655.7,197.41
9.2612,2665.6,195.64
9.3112,2675.3,193.88
9.3612,2684.9,192.11
9.4113,2694.5,190.34
9.4613,2704,188.58
9.5113,2713.4,186.81
9.5613,2722.7,185.05
9.6113,2731.9,183.29
9.6613,2741,181.53
9.7113,2750,179.77
9.7613,2759,178.01
9.8113,2767.8,176.26
9.8613,2776.6,174.51
9.9113,2785.3,172.77
9.9613,2793.9,171.02
10.011,2802.4,169.29
10.061,2810.8,167.55
10.111,2819.1,165.82
10.161,2827.4,164.1
10.211,2835.5,162.37
10.261,2843.6,160.65
10.311,2851.6,158.94
10.361,2859.5,157.22
10.411,2867.3,155.51
10.461,2875.1,153.8
10.511,2882.7,152.09
10.561,2890.3,150.39
10.611,2897.7,148.68
10.661,2905.1,146.98
10.711,2912.4,145.28
10.761,2919.7,143.58
10.811,2926.8,141.89
10.861,2933.9,140.2
10.911,2940.8,138.5
10.961,2947.7,136.81
11.011,2954.5,135.12
11.061,2961.2,133.43
11.111,2967.8,131.74
11.161,2974.4,130.05
11.211,2980.8,128.37
11.261,2987.2,126.68
11.311,2993.5,125
11.361,2999.7,123.31
11.411,3005.8,121.63
11.461,3011.9,119.95
11.511,3017.8,118.27
11.561,3023.7,116.6
11.611,3029.5,114.93
11.661,3035.2,113.26
11.711,3040.8,111.59
11.761,3046.4,109.92
11.811,3051.8,108.26
11.861,3057.2,106.6
11.911,3062.5,104.94
11.961,3067.7,103.29
12.011,3072.8,101.63
12.061,3077.8,99.98
12.111,3082.8,98.33
12.161,3087.7,96.682
12.211,3092.5,95.036
12.261,3097.2,93.392
12.311,3101.8,91.75
